Time (hour);OD C0 = 1;OD C0 = 1/2;OD C0 = 1/4;OD C0 = 1/8;OD C0 = 1/16;std C0 = 1;std C0 = 1/2;std C0 = 1/4;std C0 = 1/8;std C0 = 1/16
9.33944444444444;0.0022236756049705;0.0047272727272727;0.0041111111111111;0.0061111111111111;0.007;0.0021360009363293;0.0022193737483152;0.0031426968052735;0.0037548322774924;0.0041633319989322
22.3119444444444;-0.0089213300892132;-0.0188181818181818;-0.02;-0.0145555555555555;-0.0074444444444444;0.0207220255706337;0.0125540155243302;0.0143990740443034;0.0134173280260275;0.0112655927605658
27.5052777777777;0.0014380427677654;0.005090909090909;0.0051111111111111;0.0078888888888888;0.0077777777777777;0.0127205542332085;0.0151924296067275;0.0093386228397558;0.0068385255793018;0.0079690760342404
29.5830555555555;0.0057041165175853;0.0119090909090909;0.0131111111111111;0.0148888888888888;0.0123333333333333;0.0059147590821604;0.0067884198918525;0.0048635708062753;0.0045812284729085;0.0053541261347363
31.9472222222222;0.0085075432298632;0.0169090909090909;0.0191111111111111;0.0209999999999999;0.0162222222222222;0.0067658956354646;0.0068151508414513;0.0047479690264936;0.0064463598686045;0.0063557109538111
47.8263888888888;0.0204050728752602;0.0376363636363636;0.0508888888888888;0.0464444444444444;0.0237777777777777;0.0068007352543677;0.0098836203090377;0.0078520265529132;0.0069459998258167;0.0045160892073114
49.9483333333333;0.0271586154431342;0.0522727272727272;0.0715555555555555;0.0575555555555555;0.0304444444444444;0.0067546280430531;0.0096868318217981;0.0103827967877543;0.0063963724287218;0.0054794791137502
53.0891666666666;0.0422102102102102;0.0857272727272727;0.130666666666666;0.100555555555555;0.0468888888888888;0.0174963165766397;0.0260980351370851;0.017120488051195;0.0123927497720877;0.0044081854277505
56.6716666666666;0.0479498311625663;0.0977272727272727;0.122;0.0772222222222222;0.0419999999999999;0.0217701056497206;0.0358154129063576;0.0135154232884755;0.0074053700902007;0.003944053188733
71.0108333333333;0.17908304179709;0.257090909090909;0.173555555555555;0.0986666666666666;0.053;0.0844167257938259;0.0436295449217917;0.0215978965596761;0.0167928556237466;0.0050990195135927
74.5861111111111;0.2278981478970631;0.277090909090909;0.167888888888888;0.0876666666666666;0.0583333333333333;0.0894498593836234;0.0304286185431787;0.018308737710263;0.0054974741674902;0.0043461349368017
76.6938888888888;0.2392780098850386;0.290272727272727;0.180111111111111;0.0891111111111111;0.0607777777777777;0.0919145110619101;0.0321250140688781;0.0109792171795872;0.0062794982893087;0.0056721106747112
78.1969444444444;0.2851087719298246;0.297454545454545;0.173111111111111;0.0841111111111111;0.0512222222222222;0.0877987533724141;0.0330436725791892;0.016522338040392;0.0053217466732569;0.0030832082056692
94.8652777777777;0.4085740969481516;0.389272727272727;0.287666666666666;0.157444444444444;0.0528888888888888;0.0614348931288237;0.0211921551055226;0.040963398296528;0.0118519675920274;0.0069832250499869
100.15;0.3904500581586089;0.403545454545454;0.293888888888888;0.147333333333333;0.0558888888888888;0.03858913180871;0.0232979266980938;0.0294106724561168;0.0163503312912409;0.0074153660948727
101.346944444444;0.4040087748294617;0.402363636363636;0.29;0.148777777777777;0.0521111111111111;0.0484448381538219;0.0203437402803673;0.0263902338838526;0.0157816896558974;0.0073400642510727
102.223333333333;0.414806977236313;0.404818181818181;0.290666666666666;0.150555555555555;0.0545555555555555;0.0614338757832354;0.0225945213867037;0.0288097205817758;0.0173276343907714;0.0092509592428882
103.258611111111;0.4146972582449139;0.385181818181818;0.271444444444444;0.141777777777777;0.0515555555555555;0.0615781705943754;0.0226908799533612;0.0310272679755193;0.0188666535793698;0.0107404853098618
166.079444444444;1.050285714285714;0.892181818181818;0.570666666666666;;;0.10365779034882;0.0755101656995065;0.0559225655110111;0.0247555954517931;0.0235943077462487
167.401666666666;1.0951993017165966;0.899818181818182;0.567555555555555;;;0.0889562524151619;0.0776505203188305;0.0459301670682088;0.0262678510731273;0.0232283351869124
168.568333333333;1.1034195162635527;0.902272727272727;0.558888888888888;;;0.0984146203569367;0.0779441418978895;0.0360291377281235;0.0407624857793729;0.0231612703547202
170.924166666666;1.1286213723095069;0.90590909090909;0.543888888888889;;;0.0999376172607192;0.080947182044786;0.0342845752309319;0.0279563151283489;0.0210102855469751
176.594166666666;1.147182620502376;0.914181818181818;0.529555555555555;;;0.121768735724733;0.0821271942358793;0.0469067896319951;0.0277119219341414;0.0249933324442073
177.37;1.1427591172857807;0.903818181818181;0.506777777777777;;0.158;0.126533576942051;0.0831393334128352;0.0421973611017397;0.0308796948747159;0.0298886823619465
