Time (hour);OD C0 = 1;OD C0 = 1/2;OD C0 = 1/4;OD C0 = 1/8;OD C0 = 1/16;std C0 = 1;std C0 = 1/2;std C0 = 1/4;std C0 = 1/8;std C0 = 1/16
5.582222222222223;0.0011406844106463;0.0049230769230769;0.005;0.0064615384615384;0.0039230769230769;0.0057416846089593;0.0060696158598704;0.0043500663124919;0.0046012604396117;0.0052103674528849
22.1525;0.0124088840217651;0.0288461538461538;0.0395384615384615;0.0527692307692307;0.0403076923076923;0.013068794452043;0.0139661467283524;0.010895414593837;0.0117417980942105;0.0106293108205899
23.211944444444445;0.0151208640493742;0.0371538461538461;0.0503846153846153;0.0663846153846154;0.0423846153846153;0.0127227264607489;0.0143357871391635;0.0120418402729717;0.0144090701218068;0.0108524259006451
24.833055555555557;0.0191596176329;0.0495384615384615;0.0649230769230769;0.0903846153846153;0.0465384615384615;0.0128545583129677;0.0157216919456251;0.0124681843626798;0.0156182263424129;0.0108458810658551
26.09777777777778;0.0231724137931034;0.0593846153846154;0.0781538461538461;0.1074615384615384;0.055076923076923;0.0114198609072306;0.0126280424302938;0.0091973754939293;0.0094267653691732;0.0073428305007887
28.398333333333333;0.0332546186970412;0.081;0.1099230769230769;0.1406153846153846;0.0738461538461538;0.0117845675804354;0.0165296935613086;0.0169181811100072;0.0147102186436632;0.0117332279894858
29.75611111111111;0.0340763390607897;0.0809999999999999;0.1162307692307692;0.1446923076923076;0.0753846153846153;0.0141112023958928;0.0185513839417399;0.0215982686134928;0.0098557645403365;0.0174026455174469
46.36055555555556;0.1157090655355404;0.2558461538461539;0.274076923076923;0.209;0.1246153846153846;0.0360147180657487;0.0447537641800555;0.0217908291876741;0.0257980321253087;0.0161127682840394
47.41388888888889;0.1654086857576331;0.3429230769230769;0.3009230769230769;0.219076923076923;0.1286153846153846;0.0410870875133609;0.0392652940089523;0.0297126275628122;0.0185325557142498;0.0165275455925436
51.27194444444444;0.2165762519339613;0.3996923076923078;0.4043076923076923;0.2503846153846153;0.1477692307692307;0.05307839594131;0.0478770614987123;0.052394046366687;0.0080051758404601;0.0172900765053868
52.60916666666667;0.2411316778336679;0.4255384615384616;0.4106153846153845;0.2539230769230769;0.1568461538461538;0.0507587268073918;0.0478179486492023;0.0426588226270837;0.0163163982566927;0.0172753544051196
55.255;0.2969696969696969;0.4891538461538461;0.4207692307692308;0.2658461538461539;0.1633076923076923;0.0871560773450814;0.0911371292688163;0.0316790487574597;0.0164636950420575;0.0125415286479919
