Light_umol_m2_s;Condition;mumax_BG11_per_h;std_mumax_BG11;Td_BG11_h;K_BG11;std_K_BG11;mumax_TAP_per_h;std_mumax_TAP;Td_TAP_h;K_TAP;std_K_TAP;Ratio_mumax_TAP_BG11;Ratio_K_TAP_BG11
51;C0=1;0.05556728748985575;0.0021709620472134435;12.474015052228072;1.2376296296296287;0.06628830905744634;0.10805712431978769;0.0028806466647322707;6.414636563051812;14.75370370370372;0.7297118772969977;1.9446175834930646;11.92093607852528
51;C0=1/2;0.0647339598118361;0.0038196313713204687;10.707628307842349;1.352592592592593;0.5439392364999192;0.10174549646632391;0.004022637476298269;6.812558831922017;7.657777777777778;0.12719189352225746;1.5717483800167673;5.66155531215772
51;C0=1/4;0.05391868811394252;0.0013278158583476846;12.8554162722796;0.775111111111111;0.035032260264779416;0.09273805460559688;0.0022130285261225346;7.474247583775742;3.657037037037037;0.07294792099131325;1.7199612573959544;4.7180810397553525
51;C0=1/8;0.04430833012893972;0.007771492132147388;15.643721587856012;0.648148148148148;0.08778237212542765;0.07999749015207912;0.0008585057148258958;8.664611592716707;1.8640740740740755;0.0030597614151585506;1.8054729194100059;2.876000000000003
51;C0=1/16;0.04617670765295131;0.004896423909842525;15.010753598316443;0.5364814814814816;0.08569954213783007;0.06427344221707176;0.002009016109634917;10.784348194997365;1.0342222222222222;0.013333333333334974;1.3919017938682303;1.9277873662409386
102;C0=1;0.04862349865028782;0.0010312149570223439;14.255395020938963;2.0733333333333333;0.35262507631257123;0.12659793743310008;0.0031794209944248637;5.475185414661552;12.677777778888888;0.4798507995534647;2.6036369440139144;6.1146838161843515
102;C0=1/2;0.031849602243359046;0.0006088081919505205;21.76313459941162;1.3188888888888888;0.12999406444189393;0.1148969755394637;0.0014999669204651721;6.032771335411434;7.319629629666667;0.07105321716303918;3.607485414152098;5.549845549031172
102;C0=1/4;0.03359477961398577;0.006127122261908283;20.632586030461194;0.6413333333333334;0.08357919287407313;0.10213516207553959;0.0021258600899832845;6.786567588224814;3.9340740741111113;0.09376443667916616;3.0402093196950135;6.134211134268884
102;C0=1/8;0.03452771959478337;0.010696430709678418;20.075092959937894;0.24229629629629632;0.1708867697214845;0.07075634723997377;0.003369473319840165;9.796254436497422;2.1229629630000004;0.02834059456555592;2.0492621021709185;8.761846530265975
102;C0=1/16;0.028891349273280367;0.006776669675369267;23.99151296132056;0.07529629629629625;0.02958651956411386;0.05668132935850386;0.0027820024564500436;12.2288448137103;1.1448148148888888;0.0074712069881702654;1.961878928614959;15.204131825873102
