Start;04/11/2024;9h30;End;Unnamed: 4;Unnamed: 5;Day;Hour;Unnamed: 8;A;B;C;Dilution;Day.1;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;;;0.0;0.01424802110817942;0.01211893112532932;0.018525519848771266;0.8333333333333331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.01424802110817942;0.011056788266265513;0.01584905660377358;0.8333333333333331;;;-1.400113706204019;0.01371514694800301;0.0009053878015929969;0.01176470588235292;0.0006034617803632674;0.01584905660377358;0.0026168224299065413;0.013892727044341142;0.00030166587452959133;0.012473334169908411;0.0015977432219387102;0.01353761145297;0.0006034617803632674;0.01211893112532932;0.0009053878015929969;0.014603493779062476;0.0010882827763081288;0.014070351758793986;0.00030166587452959133;0.01070309562601828;0.001509630526971253;0.014959145191703313;0.00030166587452959133;0.01371514694800301;0.0010455563853622105;0.013892727044341142;0.00030166587452959133;0.01176470588235292;0.00030166587452959133;0.01727524553009319;0.0007984160167625445;0.013774335356918561;0.0020059885323391257;0.013300966810362854;0.0007253339060156597;0.013596784996651047;0.0012847052766464715;0.013123535319718788;0.002152467806418599;0.014307254146423178;0.002727146780210104;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.01371514694800301;0.01176470588235292;0.01584905660377358;0.013892727044341142;0.012473334169908411;0.01353761145297;0.01211893112532932;0.014603493779062476;0.014070351758793986;0.01070309562601828;0.014959145191703313;0.01371514694800301;0.013892727044341142;0.01176470588235292;0.01727524553009319;0.013774335356918561;0.013300966810362854;0.013596784996651047;0.013123535319718788;0.014307254146423178
;;;;;;;;;0.012650602409638553;0.01211893112532932;0.01318267419962335;0.8333333333333331;;;-1.4000953316943328;0.012650602409638553;0.0013834746886050378;0.01478129713423831;0.0013834746886050378;0.015137037968317845;0.001509630526971253;0.01478129713423831;0.0005225830533781261;0.015670984781788466;0.0006034617803632674;0.016740088105726886;0.00030166587452959133;0.011941796287004532;0.0006034617803632674;0.016561792096652386;0.00030166587452959133;0.021032697891680358;0.0010882827763081288;0.018168073579438053;0.0012074440223833274;0.01995710861612213;0.0007984160167625445;0.017632241813601995;0.0016812592714729882;0.01709681480548909;0.00030166587452959133;0.01442573510932393;0.00030166587452959133;0.01620533467539005;0.0010882827763081288;0.014188793031242151;0.0013197290720666447;0.015730337078651693;0.0009596871033115756;0.016502370065858453;0.004454712681654637;0.018585111745925045;0.0011862783370010929;0.015908423833284408;0.0013311994807885111;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.012650602409638553;0.01478129713423831;0.015137037968317845;0.01478129713423831;0.015670984781788466;0.016740088105726886;0.011941796287004532;0.016561792096652386;0.021032697891680358;0.018168073579438053;0.01995710861612213;0.017632241813601995;0.01709681480548909;0.01442573510932393;0.01620533467539005;0.014188793031242151;0.015730337078651693;0.016502370065858453;0.018585111745925045;0.015908423833284408
;;;;;;;;;0.01371514694800301;0.01176470588235292;0.01584905660377358;0.8333333333333331;;;-1.4000463568598513;0.04122919334186941;0.0010882827763081288;0.04902162718846551;0.0010882827763081288;0.04995491433724073;0.00030166587452959133;0.03791517629024018;0.00030166587452959133;0.03516511538951933;0.0006034617803632674;0.04976816074188562;0.0009053878015929969;0.04012282497441148;0.00030166587452959133;0.04753086419753086;0.001886034320559523;0.05088940448569218;0.001886034320559523;0.03553118224716233;0.0007984160167625445;0.04939479783672416;0.0010882827763081288;0.04548606652112493;0.0013158834467086394;0.03388535031847132;0.0007984160167625445;0.034068034144477025;0.0007984160167625445;0.034616365026765246;0.0007984160167625445;0.046724647615783405;0.004509354277232396;0.040921698314486867;0.007344153082575403;0.04616702355460388;0.005188581722335169;0.04344703770197488;0.006769832100266155;0.03418984922488851;0.000362573029253714;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.04122919334186941;0.04902162718846551;0.04995491433724073;0.03791517629024018;0.03516511538951933;0.04976816074188562;0.04012282497441148;0.04753086419753086;0.05088940448569218;0.03553118224716233;0.04939479783672416;0.04548606652112493;0.03388535031847132;0.034068034144477025;0.034616365026765246;0.046724647615783405;0.040921698314486867;0.04616702355460388;0.04344703770197488;0.03418984922488851
;;;;;;;;;0.01371514694800301;0.01176470588235292;0.01584905660377358;;;;-1.4000440389439477;0.04808954071786954;0.002092675635276532;0.044558521560574965;0.0007984160167625445;0.052012383900928785;0.0010455563853622105;0.04548606652112493;0.0010882827763081288;0.048835113914274655;0.0007984160167625445;0.0601115579193149;0.0010882827763081288;0.04939479783672416;0.0012074440223833274;0.054451479519317544;0.0010882827763081288;0.05821997668091721;0.0005225830533781261;0.04363216621777607;0.0005225830533781261;0.05145067698259187;0.0009053878015929969;0.05614489003880964;0.0021782588108635458;0.04067579674900808;0.0007984160167625445;0.04030710172744722;0.0013834746886050378;0.03791517629024018;0.0006034617803632674;0.0482137496247373;0.0034927298425366476;0.05145067698259187;0.00714795381760573;0.054013089906992724;0.00411922465100223;0.05039085989176186;0.005920524503433761;0.03963165075034107;0.0014196394570137971;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.04808954071786954;0.044558521560574965;0.052012383900928785;0.04548606652112493;0.048835113914274655;0.0601115579193149;0.04939479783672416;0.054451479519317544;0.05821997668091721;0.04363216621777607;0.05145067698259187;0.05614489003880964;0.04067579674900808;0.04030710172744722;0.03791517629024018;0.0482137496247373;0.05145067698259187;0.054013089906992724;0.05039085989176186;0.03963165075034107
;;;;;;;;0.8333333333333331;0.01371514694800301;0.011056788266265513;0.01424802110817942;0.8333333333333331;;;-1.400041690130328;0.05539177657098525;0.0005225830533780738;0.05765345765345764;0.0005225830533781261;0.054075700813848354;0.0016812592714729882;0.04939479783672416;0.0010882827763081288;0.0395702775290958;0.0007984160167625445;0.05576823590274203;0.001509630526971253;0.054451479519317544;0.002976740091409879;0.057464715784021944;0.00030166587452959133;0.0601115579193149;0.0007984160167625445;0.0462289605550559;0.0016812592714729882;0.05765345765345764;0.0009053878015929969;0.05614489003880964;0.0012074440223833274;0.04049142564627589;0.0016812592714729882;0.03553118224716233;0.001980527093522562;0.03626387648334823;0.0010882827763081288;0.05570547915678776;0.0016752151907840458;0.0482137496247373;0.00767646278089053;0.05733891502308894;0.0026187637240009986;0.05332472562943832;0.005796492159522309;0.03742550655542313;0.002541961118531674;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.05539177657098525;0.05765345765345764;0.054075700813848354;0.04939479783672416;0.0395702775290958;0.05576823590274203;0.054451479519317544;0.057464715784021944;0.0601115579193149;0.0462289605550559;0.05765345765345764;0.05614489003880964;0.04049142564627589;0.03553118224716233;0.03626387648334823;0.05570547915678776;0.0482137496247373;0.05733891502308894;0.05332472562943832;0.03742550655542313
;;;;;;;;;0.01371514694800301;0.01424802110817942;0.01318267419962335;0.8333333333333331;;;-1.4000373343289154;0.07233485938521926;0.001836973752911367;0.0717573221757324;0.0007984160167625445;0.07988430186694734;0.0021143947248519345;0.07194978422910944;0.0009053878015929969;0.07156491044580972;0.001836973752911367;0.08437293946986658;0.0007984160167625445;0.07021943573667712;0.0007984160167625445;0.07619672131147522;0.0021782588108635458;0.081247532570075;0.0005225830533781261;0.06238794335455353;0.0016812592714729882;0.06945169712793753;0.001597743221938763;0.06448087431693988;0.001811947399666608;0.05051546391752574;0.0006034617803632674;0.046972618588507514;0.001811947399666608;0.04920818848976438;0.0013834746886050378;0.07464954801519735;0.004091906102455142;0.07593863368154208;0.006567671839746372;0.075874125874126;0.004986746423134256;0.06543418825673758;0.0033162947263433305;0.048897279670471146;0.0016752151907840458;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.07233485938521926;0.0717573221757324;0.07988430186694734;0.07194978422910944;0.07156491044580972;0.08437293946986658;0.07021943573667712;0.07619672131147522;0.081247532570075;0.06238794335455353;0.06945169712793753;0.06448087431693988;0.05051546391752574;0.046972618588507514;0.04920818848976438;0.07464954801519735;0.07593863368154208;0.075874125874126;0.06543418825673758;0.048897279670471146
;;;;;;;;;0.01424802110817942;0.01211893112532932;0.01318267419962335;0.8333333333333331;;;-1.4000352706761177;0.0857444561774025;0.0016812592714729882;0.08515635308088157;0.0034868941235298573;0.09660949341842838;0.0005225830533781261;0.07755316355998969;0.0006034617803632674;0.07639034627492147;0.0023595483009495335;0.08672566371681395;0.00030166587452959133;0.07060360595766939;0.0007984160167625445;0.08888888888888888;0.0010455563853622105;0.09105841833355428;0.001980527093522562;0.06105919003115264;0.001886034320559523;0.08163748848229582;0.001597743221938763;0.08849510711451976;0.001597743221938763;0.05539177657098525;0.0;0.05276200309757354;0.0007984160167625445;0.05276200309757354;0.003486894123529805;0.08915152584229995;0.005709340893501382;0.08020865296103086;0.005072061879276888;0.08346000087861893;0.010121487282278411;0.07697152604645077;0.013001676393449292;0.053637537666810155;0.0014088872109282661;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.0857444561774025;0.08515635308088157;0.09660949341842838;0.07755316355998969;0.07639034627492147;0.08672566371681395;0.07060360595766939;0.08888888888888888;0.09105841833355428;0.06105919003115264;0.08163748848229582;0.08849510711451976;0.05539177657098525;0.05276200309757354;0.05276200309757354;0.08915152584229995;0.08020865296103086;0.08346000087861893;0.07697152604645077;0.053637537666810155
;;;;;;;;;0.013892727044341142;0.012473334169908411;0.01353761145297;0.8333333333333331;;;-1.400033280904673;0.08967707781895161;0.00030166587452959133;0.09820311460135783;0.003564876347553655;0.09561520063778879;0.0006034617803632674;0.08105263157894756;0.0013158834467086394;0.08849510711451976;0.0012074440223833274;0.1044105854049719;0.001886034320559523;0.0793008279668815;0.0007984160167625445;0.0802735402419777;0.0006034617803632674;0.0960127591706539;0.0013834746886050378;0.07041149575440868;0.001597743221938763;0.09224446506694967;0.00030166587452959133;0.09760510910058559;0.00030166587452959133;0.06390948107686305;0.0009053878015929969;0.05520361990950244;0.0006034617803632674;0.05219971616565602;0.0016812592714729882;0.0944899314007521;0.003850630720176204;0.09125596184419714;0.01056748056506499;0.08515635308088157;0.008355006531356199;0.0866602095623843;0.012952834654468042;0.05708737864077669;0.005627221211443528;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.08967707781895161;0.09820311460135783;0.09561520063778879;0.08105263157894756;0.08849510711451976;0.1044105854049719;0.0793008279668815;0.0802735402419777;0.0960127591706539;0.07041149575440868;0.09224446506694967;0.09760510910058559;0.06390948107686305;0.05520361990950244;0.05219971616565602;0.0944899314007521;0.09125596184419714;0.08515635308088157;0.0866602095623843;0.05708737864077669
;;;;;;;;;0.013892727044341142;0.012473334169908411;0.01353761145297;;;;-1.4000320362521956;0.10622240064231232;0.0029145887504997527;0.0962116177057023;0.008077075157363833;0.10723085163363705;0.0013158834467086394;0.10059992001066542;0.0025816309291828623;0.09780439121756485;0.0029145887504997527;0.1120902740462119;0.0021143947248519345;0.10380761523046092;0.0010455563853622105;0.10280373831775678;0.00030166587452959133;0.11229343006852074;0.0015689204333208815;0.0871185097106619;0.0005225830533781261;0.10803858520900321;1.7757797926443356e-17;0.10602087235750622;0.00030166587452959133;0.07137254901960784;0.0005225830533781261;0.06390948107686305;0.001886034320559523;0.059732849176501276;0.0013158834467086394;0.1032051282051282;0.005316047136035981;0.10347284060552064;0.006579366544247202;0.10628958872334725;0.004509354277232396;0.10033322966188284;0.010164255027689823;0.06498915401301524;0.005400002337623627;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.8333333333333331;0.10622240064231232;0.0962116177057023;0.10723085163363705;0.10059992001066542;0.09780439121756485;0.1120902740462119;0.10380761523046092;0.10280373831775678;0.11229343006852074;0.0871185097106619;0.10803858520900321;0.10602087235750622;0.07137254901960784;0.06390948107686305;0.059732849176501276;0.1032051282051282;0.10347284060552064;0.10628958872334725;0.10033322966188284;0.06498915401301524
