Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
5.606111111111111;0.005;0.007;0.006;0.006;0.004;0.002;0.004;0.004;0.006;0.003;0.004;0.002;-0.0;0.002;0.003;0.001;-0.002;-0.002;-0.0;0.003;0.004;0.005;0.003;0.004;0.002;0.001;0.005;0.004;0.007;0.0;0.002;0.003;0.005;0.004;0.004;0.002;0.002;0.001;0.001;0.001;0.002;0.002;0.003;0.003;0.004;0.003;0.001;0.001;0.002;0.003;0.003;0.0;0.006;0.005;-0.003;0.002;0.006;0.001;0.006;0.006;0.006;0.001;0.005;0.005;0.002;-0.001;0.001;0.0;0.004;-0.001;-0.002;-0.002;0.001;-0.001;0.001;0.002;0.003;-0.001;0.004;0.002;0.002;-0.001;-0.0;0.002;0.003;0.003;0.004;-0.002
22.534444444444443;0.025;0.029;0.023;0.036;0.027;0.025;0.022;0.029;0.062;0.028;0.022;0.031;0.028;0.017;0.025;0.022;0.012;0.012;0.018;0.02;0.025;0.028;0.026;0.02;0.014;0.018;0.025;0.036;0.037;0.024;0.027;0.037;0.029;0.023;0.026;0.024;0.017;0.018;0.023;0.021;0.016;0.021;0.034;0.031;0.026;0.036;0.039;0.024;0.023;0.023;0.02;0.016;0.025;0.02;0.017;0.018;0.019;0.015;0.025;0.025;0.028;0.021;0.028;0.013;0.011;0.008;0.013;0.013;0.015;0.013;0.009;0.004;0.003;0.006;0.008;0.009;0.015;0.007;0.016;0.01;0.004;0.005;0.004;0.011;0.012;0.013;0.012;0.001
25.5425;0.038;0.055;0.038;0.051;0.041;0.039;0.032;0.051;0.078;0.038;0.034;0.044;0.036;0.024;0.034;0.029;0.019;0.02;0.025;0.026;0.032;0.038;0.032;0.032;0.026;0.021;0.031;0.041;0.041;0.034;0.036;0.036;0.045;0.027;0.03;0.024;0.033;0.032;0.029;0.019;0.023;0.025;0.032;0.033;0.03;0.035;0.033;0.026;0.028;0.021;0.023;0.017;0.028;0.023;0.021;0.017;0.019;0.015;0.026;0.03;0.029;0.025;0.03;0.023;0.011;0.01;0.013;0.013;0.016;0.012;0.009;0.006;0.005;0.005;0.009;0.009;0.02;0.008;0.015;0.007;0.005;0.006;0.005;0.008;0.01;0.01;0.009;0.003
28.5175;0.064;0.07;0.059;0.076;0.065;0.064;0.052;0.074;0.088;0.067;0.051;0.064;0.054;0.037;0.047;0.044;0.034;0.037;0.042;0.04;0.051;0.054;0.048;0.048;0.038;0.045;0.053;0.057;0.056;0.05;0.048;0.05;0.052;0.038;0.044;0.043;0.041;0.041;0.042;0.033;0.041;0.04;0.041;0.042;0.047;0.046;0.045;0.042;0.047;0.038;0.036;0.027;0.04;0.036;0.033;0.031;0.026;0.022;0.032;0.031;0.032;0.026;0.035;0.027;0.013;0.014;0.015;0.015;0.02;0.015;0.013;0.009;0.007;0.005;0.011;0.011;0.02;0.01;0.017;0.009;0.006;0.007;0.006;0.01;0.012;0.011;0.011;0.006
31.02611111111111;0.105;0.097;0.101;0.111;0.108;0.1;0.089;0.093;0.12;0.096;0.072;0.089;0.081;0.057;0.059;0.066;0.057;0.051;0.059;0.062;0.066;0.074;0.068;0.067;0.084;0.074;0.08;0.092;0.096;0.093;0.073;0.084;0.064;0.06;0.068;0.062;0.057;0.062;0.061;0.058;0.066;0.064;0.087;0.08;0.084;0.068;0.087;0.072;0.064;0.067;0.066;0.052;0.063;0.057;0.058;0.058;0.038;0.035;0.031;0.036;0.042;0.04;0.038;0.041;0.021;0.024;0.025;0.022;0.021;0.018;0.02;0.016;0.006;0.005;0.009;0.012;0.023;0.01;0.017;0.012;0.007;0.006;0.007;0.01;0.011;0.008;0.01;0.005
46.91222222222222;0.682;0.758;0.708;0.734;0.743;0.728;0.656;0.719;0.725;0.684;0.699;0.765;0.728;0.628;0.635;0.671;0.641;0.594;0.662;0.646;0.675;0.67;0.688;0.664;0.749;0.637;0.626;0.705;0.628;0.691;0.605;0.716;0.734;0.759;0.742;0.763;0.75;0.744;0.679;0.614;0.371;0.343;0.356;0.352;0.301;0.309;0.341;0.334;0.359;0.341;0.321;0.337;0.356;0.364;0.4;0.352;0.338;0.326;0.392;0.35;0.391;0.332;0.42;0.407;0.23;0.201;0.219;0.182;0.194;0.206;0.216;0.227;0.043;0.052;0.054;0.06;0.099;0.073;0.099;0.074;0.055;0.052;0.042;0.062;0.057;0.06;0.057;0.049
52.2375;0.924;0.99;0.928;0.937;0.946;0.918;0.885;0.941;0.962;0.912;0.911;0.96;0.913;0.82;0.844;0.88;0.851;0.825;0.877;0.847;0.87;0.853;0.894;0.896;0.934;0.809;0.793;0.852;0.779;0.838;0.755;0.879;0.895;0.913;0.89;0.909;0.888;0.883;0.824;0.735;0.453;0.45;0.441;0.435;0.363;0.424;0.436;0.438;0.427;0.426;0.43;0.437;0.389;0.391;0.356;0.389;0.444;0.403;0.504;0.41;0.441;0.406;0.448;0.429;0.316;0.358;0.348;0.343;0.313;0.299;0.287;0.299;0.128;0.104;0.109;0.102;0.146;0.108;0.157;0.113;0.069;0.112;0.077;0.067;0.065;0.068;0.077;0.075
56.82083333333333;1.053;1.105;1.044;1.057;1.07;1.064;1.028;1.073;1.095;1.048;1.046;1.091;1.062;0.979;1.003;1.049;0.993;0.991;1.03;1.008;1.031;1.01;1.039;1.041;0.987;0.863;0.849;0.93;0.849;0.912;0.832;0.949;0.973;0.985;0.968;0.986;0.962;0.964;0.901;0.83;0.4;0.441;0.428;0.404;0.383;0.361;0.371;0.376;0.378;0.375;0.408;0.412;0.393;0.4;0.404;0.383;0.345;0.38;0.455;0.438;0.441;0.411;0.473;0.448;0.271;0.342;0.348;0.348;0.34;0.313;0.281;0.292;0.091;0.166;0.085;0.118;0.121;0.105;0.151;0.106;0.084;0.128;0.083;0.088;0.079;0.092;0.111;0.095
70.84722222222223;1.45;1.466;1.43;1.431;1.439;1.438;1.414;1.442;1.473;1.455;1.449;1.463;1.572;1.399;1.419;1.443;1.438;1.433;1.462;1.44;1.445;1.425;1.437;1.448;1.244;1.103;1.09;1.189;1.101;1.157;1.095;1.2;1.239;1.242;1.229;1.251;1.233;1.236;1.169;1.094;0.453;0.441;0.407;0.372;0.407;0.339;0.386;0.387;0.531;0.461;0.459;0.441;0.391;0.429;0.427;0.413;0.317;0.339;0.406;0.402;0.372;0.299;0.453;0.359;0.189;0.268;0.269;0.24;0.256;0.199;0.261;0.186;0.119;0.144;0.14;0.144;0.131;0.125;0.186;0.16;0.116;0.101;0.112;0.137;0.14;0.145;0.125;0.121
76.7375;1.556;1.573;1.54;1.542;1.543;1.54;1.524;1.547;1.576;1.565;1.556;1.563;1.633;1.528;1.528;1.545;1.536;1.539;1.566;1.541;1.542;1.523;1.54;1.556;1.306;1.168;1.153;1.249;1.164;1.214;1.162;1.264;1.3;1.305;1.285;1.311;1.295;1.3;1.23;1.164;0.513;0.484;0.444;0.407;0.478;0.369;0.409;0.438;0.61;0.506;0.475;0.457;0.408;0.438;0.441;0.427;0.385;0.35;0.4;0.39;0.397;0.297;0.431;0.365;0.186;0.279;0.274;0.235;0.244;0.19;0.27;0.177;0.113;0.173;0.172;0.182;0.135;0.123;0.186;0.161;0.111;0.092;0.111;0.117;0.12;0.133;0.129;0.125
