Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
12.3555555555555;0.0026168224299065;0.0105263157894736;0.0115876598946576;0.0084084084084084;0.026615969581749;0.0094665664913598;0.0115876598946576;0.0078799249530956;0.0036662925551814;0.0084084084084084;0.0005225830533781;;;0.0005225830533781;0.0126506024096385;0.0084084084084084;0;0.0031413612565445;0.0068241469816272;0.0099962420142803;0.0153149754809505;0.0153149754809505;0.0105263157894736;0.0057699512926189;0.008;0.013;0.027;0.076;;0.079;0.025;0.012;0.008;0.01;0.002;;;;0.022;0.012;0.01;0.015;0.021;0.026;0.046;;0.045;0.01;0.01;0.011;0.003;;0.006;0.012;0.019;0.011;0.011;0.008;0.014;;;;0.029;0.014;;0.008;0.013;0.008;0.018;0.02;0.018;0.012;0.005;0.004;0.001;0.01;0.013;0.009;0.025;0.016;0.01;0.002;0.014;0.021;0.027;0.017;0.021;0.01
14.9941666666666;0.0015689204333208;0.0068241469816272;0.0078799249530956;0.0078799249530956;0.0174537211938043;0.0084084084084084;0.0073518379594898;0.0057699512926189;0.0020926756352765;0.0052434456928838;0.0010455563853622;;0.0015689204333208;0.0031413612565445;0.0105263157894736;0.0068241469816272;0;;0.0062968515742128;0.0084084084084084;0.013715146948003;0.0115876598946576;0.0094665664913598;0.0073518379594898;0.005;0.008;0.022;0.051;0.065;0.049;0.024;0.014;0.009;0.011;0.004;0.005;0.006;0.008;0.021;0.012;0.006;0.012;0.017;0.022;0.033;0.075;0.029;0.01;0.008;0.011;0.006;0.005;0.01;0.013;0.015;0.015;0.013;0.008;0.012;0.016;0.034;0.042;0.021;0.021;0;0.011;0.011;0.01;0.017;0.017;0.017;0.015;0.012;0.004;0.003;0.008;0.011;0.007;0.019;0.042;0;0.001;0.012;0.016;0.023;0.014;0.018;0.01
16.9644444444444;;0.0078799249530956;0.0094665664913598;0.0089372887720615;0.0163835409588523;0.0099962420142803;0.0084084084084084;0.0073518379594898;0.004191616766467;0.0099962420142803;0.0052434456928838;0.0005225830533781;0.0047173343317109;0.0068241469816272;0.0121189311253293;0.0094665664913598;0.0020926756352765;0.0036662925551814;0.0099962420142803;0.0105263157894736;0.0153149754809505;0.0126506024096385;0.0110567882662655;0.0073518379594898;0.009;0.015;0.029;0.048;0.057;0.045;0.028;0.019;0.013;0.016;0.017;0.012;0.013;0.014;0.025;0.017;0.01;0.018;0.022;0.025;0.034;0.06;0.03;0.015;0.011;0.015;0.012;0.012;0.014;0.017;0.017;0.017;0.013;0.012;0.018;0.02;0.035;0.035;0.022;0.018;0.007;0.01;0.013;0.015;0.018;0.016;0.015;0.015;0.008;0.009;0.009;0.014;0.013;0.009;0.019;0.043;0.001;0.004;0.016;0.019;0.023;0.016;0.017;0.01
21.7494444444444;0.0047173343317109;0.0099962420142803;0.0105263157894736;0.0105263157894736;0.0158490566037735;0.0147812971342383;0.0105263157894736;0.0068241469816272;0.0068241469816272;0.025531914893617;0.0239089184060721;0.0078799249530956;0.0115876598946576;0.0121189311253293;0.0174537211938043;0.0163835409588523;0.013715146948003;0.0073518379594898;0.0099962420142803;0.013715146948003;0.0386503067484662;0.0326078655975563;0.0331550802139037;0.0174537211938043;0.01;0.032;0.048;0.055;0.065;0.059;0.037;0.026;0.018;0.023;0.02;0.03;0.022;0.039;0.044;0.044;0.019;0.035;0.059;0.048;0.055;0.068;0.047;0.031;0.016;0.023;0.035;0.026;0.03;0.024;0.022;0.034;0.018;0.025;0.028;0.034;0.045;0.036;0.031;0.027;0.008;0.021;0.021;0.029;0.037;0.034;0.03;0.028;0.013;0.022;0.018;0.023;0.018;0.021;0.024;0.048;0.011;0.014;0.024;0.024;0.033;0.023;0.023;0.017
36.3361111111111;0.180454928390901;0.213763440860215;0.193882752761257;0.173825503355704;0.224242424242424;0.252863436123348;0.208229747106729;0.226354573038578;0.178460244005048;0.175808483830323;0.1945601359966;0.197955706984667;0.197275436355896;0.209609609609609;0.23272410791993;0.261647475642161;0.156846473029045;0.156846473029045;0.171847507331378;0.257976137870083;0.227059843885516;0.191178965224766;0.206164383561643;0.16790639364814;0.351;0.509;0.364;0.421;0.375;0.412;0.397;0.361;0.484;0.483;0.476;0.479;0.556;0.555;0.541;0.349;;;;;;;;;;;;;;;;;0.194;;0.21;0.234;0.249;0.259;0.213;0.219;0.161;0.247;0.255;0.278;0.272;0.244;0.215;0.185;0.075;0.102;0.084;0.09;0.083;0.074;0.074;0.108;0.081;0.058;0.092;0.1;0.089;0.08;0.069;0.087
39.2169444444444;0.165943238731218;0.18848433530906;0.184459459459459;0.159434746467165;0.189157136806437;0.209609609609609;0.219335347432024;0.269039145907473;0.175808483830323;0.183790628957365;0.15813953488372;0.173165618448637;0.179124579124579;0.159434746467165;0.16790639364814;0.365647058823529;0.187140439932318;0.227059843885516;0.213069647463456;0.311678832116788;0.296202531645569;0.257243816254416;0.319523373052245;0.244171779141104;0.343;0.52;0.296;0.409;0.327;0.358;0.398;0.434;0.49;0.463;0.547;0.557;0.638;0.641;0.563;0.376;;;;;;;;;;;;;;;0.304;;0.23;;0.215;0.251;;0.253;0.246;0.255;0.243;0.251;0.256;0.278;0.253;0.243;0.21;0.237;0.107;0.105;0.085;0.093;0.087;0.074;0.077;0.105;0.085;0.059;0.08;0.089;0.08;0.08;0.076;0.07
41.8088888888888;0.213069647463456;0.227059843885516;0.225649913344887;0.204104318084651;0.21654459284791;0.23914373088685;0.22143474503025;0.277996422182468;0.191178965224766;0.210300429184549;0.206164383561643;0.193205944798301;0.239860139860139;0.180454928390901;0.168561872909698;0.432926233512457;0.193205944798301;0.244171779141104;0.213069647463456;0.330627306273062;0.293905191873589;0.258709106984969;0.35409069658719;0.272014260249554;0.382;0.612;0.365;0.473;0.362;0.374;0.443;0.432;0.499;0.503;0.638;0.644;0.736;0.737;0.647;0.407;;;;;;;0.317;0.385;0.32;0.389;0.352;0.459;0.362;;;;0.275;;0.261;0.269;0.302;0.271;0.293;;0.242;0.312;0.291;0.324;0.3;0.271;0.241;0.262;0.099;0.122;0.111;0.119;0.115;0.101;0.107;0.145;0.089;0.091;0.107;0.116;0.109;0.108;0.096;0.089
45.6144444444444;0.243451598773543;0.320311783585511;0.300045310376076;0.289329131022062;0.287809266756635;0.296969696969696;0.28100358422939;0.343494423791821;0.242732049036777;0.303905540417801;0.283266038582323;0.297737556561085;0.409937288953207;0.29927536231884;0.29927536231884;0.564397905759162;0.284021543985637;0.344304974430497;0.320311783585511;0.432926233512457;0.419592628516003;0.378199052132701;0.461111111111111;0.383269961977186;0.438;0.635;0.433;0.546;0.431;0.49;0.558;0.542;0.566;0.582;0.763;0.765;0.874;0.86;0.759;0.537;;;;;;;0.325;0.399;0.381;0.465;0.427;0.561;0.445;0.413;0.371;0.338;0.31;0.288;0.305;;;;;0.38;0.352;0.368;0.365;0.366;0.355;0.345;0.3;0.341;0.152;0.139;0.144;0.153;0.151;0.137;0.14;0.172;0.177;0.133;0.144;0.14;0.15;0.129;0.12;0.139
60.4369444444444;0.867069486404833;0.988287714831317;0.98676844783715;0.967192429022081;0.991332058636073;0.945;0.926100433973961;0.980710659898477;0.878081360048572;1.0051282051282;0.970183196462412;0.973181530676786;1.29540229885057;1.01752577319587;0.952351097178683;1.3527512839325;0.899019607843137;1.04111906310995;1.00667094291212;1.16810403832991;1.11981195433176;1.06194225721784;1.18758620689655;1.04589308996088;0.817;0.921;0.647;0.838;0.684;0.744;0.847;0.867;0.988;0.965;1.14;1.146;1.263;1.247;1.119;0.838;0.329;;0.373;0.332;0.319;0.336;0.453;0.5;0.55;0.615;0.562;0.724;0.559;0.541;0.483;0.508;;0.335;;0.301;0.325;0.347;0.313;0.371;0.328;0.376;0.348;0.361;0.349;0.362;0.344;0.384;0.236;0.191;0.221;0.23;0.248;;;0.294;0.246;0.236;0.238;0.231;0.239;0.245;0.249;0.268
63.1005555555555;0.943535290443472;1.06517739816031;1.05228758169934;1.0442996742671;1.05710543549443;0.998976982097186;0.985251112523839;1.05068582625734;0.95678391959799;1.09136786188578;1.0442996742671;1.05228758169934;1.53124999999999;1.09136786188578;1.01752577319587;1.42956259426847;0.979201014584654;1.12150537634408;1.08641484426772;1.24971751412429;1.19653979238754;1.14545454545454;1.27426942266571;1.12320107599193;0.859;0.959;0.678;0.873;0.709;0.773;0.879;0.914;1.029;1.007;1.177;1.187;1.299;1.282;1.164;0.871;0.325;0.373;0.366;0.327;0.313;0.322;0.455;0.521;0.557;0.625;0.566;0.733;0.561;0.55;0.498;0.522;0.363;0.332;0.328;0.319;0.335;0.35;0.298;0.355;0.344;0.365;0.354;0.354;0.343;0.36;0.331;0.375;0.232;0.186;0.209;0.218;0.236;0.237;0.253;0.279;0.231;0.228;0.241;0.227;0.234;0.228;0.249;0.253
