Time (hour);C0 = 1 R1;C0 = 1 R2;C0 = 1 R3;C0 = 1 R4;C0 = 1 R5;C0 = 1 R6;C0 = 1 R7;C0 = 1 R8;C0 = 1 R9;C0 = 1 R10;C0 = 1 R11;C0 = 1 R12;C0 = 1 R13;C0 = 1 R14;C0 = 1 R15;C0 = 1 R16;C0 = 1 R17;C0 = 1 R18;C0 = 1 R19;C0 = 1 R20;C0 = 1 R21;C0 = 1 R22;C0 = 1 R23;C0 = 1 R24;C0 = 1/2 R1;C0 = 1/2 R2;C0 = 1/2 R3;C0 = 1/2 R4;C0 = 1/2 R5;C0 = 1/2 R6;C0 = 1/2 R7;C0 = 1/2 R8;C0 = 1/2 R9;C0 = 1/2 R10;C0 = 1/2 R11;C0 = 1/2 R12;C0 = 1/2 R13;C0 = 1/2 R14;C0 = 1/2 R15;C0 = 1/2 R16;C0 = 1/4 R1;C0 = 1/4 R2;C0 = 1/4 R3;C0 = 1/4 R4;C0 = 1/4 R5;C0 = 1/4 R6;C0 = 1/4 R7;C0 = 1/4 R8;C0 = 1/4 R9;C0 = 1/4 R10;C0 = 1/4 R11;C0 = 1/4 R12;C0 = 1/4 R13;C0 = 1/4 R14;C0 = 1/4 R15;C0 = 1/4 R16;C0 = 1/8 R1;C0 = 1/8 R2;C0 = 1/8 R3;C0 = 1/8 R4;C0 = 1/8 R5;C0 = 1/8 R6;C0 = 1/8 R7;C0 = 1/8 R8;C0 = 1/8 R9;C0 = 1/8 R10;C0 = 1/8 R11;C0 = 1/8 R12;C0 = 1/8 R13;C0 = 1/8 R14;C0 = 1/8 R15;C0 = 1/8 R16;C0 = 1/16 R1;C0 = 1/16 R2;C0 = 1/16 R3;C0 = 1/16 R4;C0 = 1/16 R5;C0 = 1/16 R6;C0 = 1/16 R7;C0 = 1/16 R8;C0 = 1/16 R9;C0 = 1/16 R10;C0 = 1/16 R11;C0 = 1/16 R12;C0 = 1/16 R13;C0 = 1/16 R14;C0 = 1/16 R15;C0 = 1/16 R16
74.58611111;0.321100917;0.352452125;0.263120567;0.21237645;0.256512141;0.27201426;0.23986014;0.326645191;0.406;0.274252566;0.234146341;0.165289946;0.156200747;0.153623188;0.189157137;0.463;0.320311784;0.279498657;0.189830508;0.163333333;0.158139535;0.192529711;0.190504451;0.248506151;0.296;0.311;0.278;0.289;0.266;0.273;0.317;0.399;0.333;0.291;0.243;0.244;0.273;0.224;0.268;0.404;0.169;0.161;0.178;0.165;0.167;0.164;0.17;0.173;0.211;0.184;0.154;0.148;0.152;0.14;0.145;0.158;0.088;0.082;0.082;0.079;0.082;0.087;0.097;0.082;0.093;0.09;0.091;0.087;0.097;0.098;0.082;0.084;0.059;0.054;0.055;0.054;0.054;0.051;0.055;;0.052;0.064;0.062;0.062;0.063;0.056;;
76.69388889;0.389222699;0.358200562;0.267555556;0.222135754;0.252863436;0.272759697;0.247058824;0.310118505;0.432;0.270525378;0.232724108;0.165289946;0.167906394;0.158139535;0.18245466;0.418;0.3322253;0.255050728;0.213069647;0.185128855;0.195238095;0.190504451;0.199317988;0.225649913;0.329;0.322;0.302;0.285;0.293;0.3;0.335;0.413;0.343;0.301;0.263;0.241;0.271;0.243;0.306;0.404;0.172;0.185;0.192;0.176;0.189;0.208;0.196;0.192;0.197;0.187;0.164;0.164;0.187;0.173;0.165;0.167;0.079;0.093;0.092;0.085;0.095;0.117;0.121;0.113;0.081;0.089;0.096;0.088;0.099;0.111;0.108;0.096;0.056;0.06;0.064;0.062;0.062;0.058;0.059;;0.047;0.063;0.064;0.064;0.067;0.06;;
78.19694444;0.440117705;0.432926234;0.311678832;0.282511211;0.280250784;0.297737557;0.260911908;0.373995272;0.457;0.321890776;0.285534591;0.229887055;0.222135754;0.215848407;0.255050728;0.494;0.354090697;0.29467028;0.245614035;0.229887055;0.215848407;0.234858388;0.241294838;0.277996422;0.349;0.32;0.3;0.291;0.29;0.302;0.334;0.363;0.355;0.314;0.275;0.255;0.273;0.25;0.306;0.366;0.182;0.178;0.172;0.162;0.157;0.165;0.153;0.173;0.209;0.184;0.159;0.154;0.173;0.156;0.139;0.149;0.092;0.083;0.082;0.076;0.073;0.093;0.091;0.12;0.087;0.078;0.09;0.08;0.089;0.094;0.092;0.098;0.046;0.048;0.055;0.053;0.05;0.045;0.046;;0.05;0.05;0.053;0.05;0.056;0.049;;
94.86527778;0.382422803;0.497824987;0.510386965;0.50747331;0.64023926;0.602134472;0.584135378;0.427569411;0.584;0.39264214;0.403846154;0.329032258;0.363986836;0.359024848;0.50844354;0.949;0.462959285;0.402113353;0.406451613;0.368976898;0.357377049;0.428460039;0.410810811;0.570588235;0.352;0.408;0.398;0.382;0.398;0.379;0.351;0.358;0.348;0.401;0.41;0.398;0.411;0.376;0.292;;0.215;;0.29;0.319;0.31;0.306;0.269;0.368;0.288;0.292;0.293;0.264;0.244;0.245;0.265;0.271;0.174;0.157;0.151;0.177;0.155;0.171;0.218;0.311;0.141;0.163;0.161;0.144;0.149;0.142;0.167;0.307;0.045;0.046;0.046;0.057;0.052;0.059;0.069;;0.055;0.053;0.052;0.053;0.069;0.057;;
100.15;0.443734644;0.389222699;0.4012482;0.416949153;0.403846154;0.414313346;0.430243902;0.498785425;0.647;0.404713805;0.396934866;0.355732335;0.37231932;0.328235836;0.393499044;0.747;0.438314552;0.390930788;0.390930788;0.368143261;0.351633987;0.362329732;0.379886148;0.441924399;0.368;0.422;0.425;0.411;0.421;0.391;0.368;0.39;0.36;0.409;0.406;0.401;0.436;0.38;0.319;;0.252;0.33;0.323;0.327;0.331;0.329;0.336;0.505;0.254;0.295;0.298;0.289;0.269;0.272;0.324;0.446;0.144;0.143;0.154;0.169;0.16;0.186;0.235;0.401;0.108;0.145;0.163;0.145;0.155;0.153;0.193;0.338;0.041;0.055;0.051;0.059;0.059;0.065;0.088;;0.057;0.054;0.057;0.058;0.071;0.065;;
101.3469444;0.4374143;0.361502347;0.376515152;0.363986836;0.352452125;0.315592135;0.337037037;0.527067283;0.66;0.413436443;0.375674397;0.376515152;0.368976898;0.34187558;0.34187558;0.626;0.482589062;0.486375063;0.433822092;0.414313346;0.39264214;0.396934866;0.37231932;0.448275862;0.357;0.425;0.42;0.392;0.414;0.39;0.367;0.399;0.377;0.419;0.417;0.411;0.406;0.388;0.33;;0.237;0.319;0.311;0.321;0.317;0.308;0.297;0.438;0.269;0.293;0.299;0.284;0.271;0.267;0.295;0.338;0.143;0.139;0.154;0.171;0.166;0.186;0.226;0.398;0.114;0.144;0.164;0.15;0.16;0.16;0.196;0.336;0.038;0.05;0.048;0.06;0.061;0.068;0.082;;0.051;0.05;0.052;0.054;0.066;0.064;;
102.2233333;0.450098619;0.345928339;0.354090697;0.359849906;0.313242009;0.264596273;0.293905192;0.563369963;0.669;0.429351536;0.395215311;0.397795879;0.389222699;0.364816557;0.325057471;0.675;0.569553806;0.490176322;0.434718826;0.411685176;0.395215311;0.409937289;0.382422803;0.420475497;0.359;0.413;0.426;0.404;0.427;0.397;0.379;0.383;0.382;0.425;0.429;0.416;0.377;0.395;0.342;;0.24;0.312;0.314;0.33;0.321;0.302;0.292;0.476;0.256;0.297;0.308;0.278;0.274;0.266;0.298;0.38;0.145;0.141;0.159;0.176;0.167;0.186;0.227;0.416;0.114;0.139;0.165;0.152;0.164;0.162;0.194;;0.034;0.051;0.05;0.061;0.063;0.069;0.086;;0.053;0.055;0.059;0.058;0.07;0.066;;
103.2586111;0.446456693;0.345116279;0.353271028;0.343494424;0.298506111;0.259442724;0.28175706;0.544041451;0.671;0.420475497;0.396074677;0.391786055;0.391786055;0.361502347;0.315592135;0.659;0.565426925;0.476;0.444641101;0.425790754;0.414313346;0.417829457;0.380730897;0.405582291;0.335;0.369;0.388;0.385;0.399;0.374;0.351;0.38;0.363;0.404;0.413;0.413;0.372;0.396;0.343;;0.198;0.282;0.264;0.313;0.3;0.262;0.247;0.515;0.258;0.272;0.29;0.267;0.263;0.254;0.291;0.431;0.14;0.112;0.143;0.162;0.147;0.165;0.224;0.417;0.109;;0.164;0.143;0.16;0.161;0.202;;0.033;0.04;0.042;0.059;0.056;0.058;0.073;;;0.053;0.057;0.058;0.07;0.065;;
166.0794444;0.825385528;1.113060951;1.071673254;1.113060951;1.052287582;1.274269423;1.338686131;1.453231939;0.93;0.816184288;0.901840491;1.003587444;1.126599327;1.070046083;1.169863014;;1.336688549;1.28;1.169863014;1.159345157;1.071673254;1.175154427;1.262881476;1.356796473;0.992;0.863;0.888;0.942;0.912;0.925;1.001;1.269;0.894;0.789;0.812;0.806;1.047;0.869;1.014;1.216;0.571;;0.525;0.617;0.57;0.623;;0.937;0.604;0.513;0.525;0.519;0.525;;;1.051;;;;;;;;;;;;;;;;0.33;;;;;;;;;;;0.187;;;;;
167.4016667;0.977693283;1.164593301;1.113060951;1.16284153;1.16109215;1.232982456;1.389591078;1.705960265;0.957;0.891997557;0.959748428;1.034782609;1.154118448;1.103002001;1.225612316;1.536;1.358823529;1.287679083;1.194744122;1.175154427;1.096340652;1.205555556;1.305118962;1.416816817;1.002;0.87;0.88;0.947;0.916;0.949;1.049;1.298;0.919;0.793;0.817;0.811;1.059;0.884;1.04;1.233;0.552;;0.54;0.604;0.578;0.614;;1.072;0.623;0.521;0.528;0.525;0.526;0.559;0.742;1.131;;;;;;;;0.52;;;;;;;;;;;;;;;;;;;0.179;;;;;
