Time;0A_avg;0A_std;0B_avg;0B_std;0C_avg;0C_std;1A_avg;1A_std;1B_avg;1B_std;1C_avg;1C_std;2A_avg;2A_std;2B_avg;2B_std;2C_avg;2C_std;3A_avg;3A_std;3B_avg;3B_std;3C_avg;3C_std;4A_avg;4A_std;4B_avg;4B_std;4C_avg;4C_std
13.353055555555555;0.009600000000000001;0.0037202150475476553;0.0076;0.0004898979485566356;0.0076;0.0013564659966250532;0.0054;0.0013564659966250536;0.0032;0.0011661903789690602;0.0028;0.0007483314773547883;0.004600000000000001;0.001624807680927192;0.004600000000000001;0.0004898979485566357;0.0034000000000000002;0.0013564659966250536;0.0036;0.0020591260281974002;0.0038;0.004833218389437829;0.0048000000000000004;0.002135415650406262;0.0028000000000000004;0.00132664991614216;0.008799999999999999;0.0043081318457076035;0.004200000000000001;0.0007483314773547883
15.910555555555556;0.0124;0.0012000000000000003;0.009000000000000001;0.0020976176963403027;0.013800000000000002;0.0048332183894378294;0.006;0.002366431913239846;0.0062;0.001720465053408525;0.0036;0.0008;0.0054;0.0014966629547095765;0.008799999999999999;0.005268775948927796;0.0068000000000000005;0.0017204650534085252;0.0068000000000000005;0.0011661903789690602;0.0042;0.0019390719429665318;0.006;0.0012649110640673518;0.0032;0.0016;0.0058000000000000005;0.0011661903789690602;0.0046;0.001624807680927192
17.92861111111111;0.011800000000000001;0.0029257477676655594;0.013799999999999998;0.004445222154178573;0.0152;0.003655133376499413;0.009;0.005366563145999495;0.0084;0.002497999199359359;0.0068000000000000005;0.002925747767665559;0.0064;0.0014966629547095765;0.009;0.0037416573867739412;0.0104;0.0063749509802036915;0.008;0.0035213633723318017;0.005;0.0022803508501982755;0.0062;0.002481934729198171;0.0036000000000000003;0.0018547236990991407;0.0066;0.0018547236990991407;0.005;0.0006324555320336759
22.68722222222222;0.0242;0.0024000000000000007;0.0216;0.0040298883359219774;0.03319999999999999;0.01296765206195786;0.0184;0.011672189169131899;0.022600000000000002;0.02076150283577757;0.0164;0.006858571279792899;0.013000000000000001;0.005099019513592784;0.013000000000000001;0.0018973665961010276;0.014600000000000002;0.005043808085167397;0.007200000000000001;0.0024819347291981713;0.0064;0.0034409301068170505;0.008400000000000001;0.0018547236990991405;0.004200000000000001;0.00132664991614216;0.012;0.0010954451150103327;0.005;0.0010954451150103322
37.452222222222225;0.19999999999999998;0.023874672772626636;0.22599999999999998;0.05323532661682467;0.4;0.05966573556070519;0.17839999999999998;0.02486443242867208;0.16560000000000002;0.015512575543732258;0.1768;0.016277591959500647;0.1152;0.004664761515876239;0.1256;0.013047605144240072;0.1172;0.011214276615100953;0.0378;0.009765244492586962;0.0258;0.004791659420284377;0.0314;0.0024166091947189134;0.011600000000000001;0.0017435595774162693;0.047;0.005656854249492381;0.0112;0.001469693845669907
40.069722222222225;0.347;0.04654030511288036;0.32199999999999995;0.041665333311999335;0.42200000000000004;0.07934733769950952;0.2352;0.006881860213634096;0.22400000000000003;0.043229619475540146;0.2872;0.055793906477320625;0.1528;0.0275274408545364;0.15760000000000002;0.023405982141324465;0.18839999999999998;0.02989046670763105;0.046799999999999994;0.006910861017268397;0.028600000000000004;0.005161395160225576;0.0382;0.0033105890714493686;0.013999999999999999;0.002190890230020665;0.055600000000000004;0.008114185110040315;0.014799999999999999;0.0023151673805580446
42.8875;0.24900000000000003;0.021771541057077258;0.253;0.027495454169735044;0.383;0.08140024569987489;0.2992;0.02122639865827456;0.3184;0.035741292645901895;0.3424;0.04068218283229157;0.1248;0.012237646832622682;0.14079999999999998;0.01966112916391121;0.15200000000000002;0.020199009876724155;0.0672;0.015078461459976614;0.044599999999999994;0.0058172158288995945;0.0538;0.005844655678480985;0.016800000000000002;0.00132664991614216;0.0744;0.017499714283381887;0.0158;0.0019390719429665318
46.65694444444444;0.696;0.46379305730034387;0.836;0.390773591738234;0.952;0.6057854405645616;0.556;0.09243376006633074;0.606;0.07709734106958552;0.6340000000000001;0.15383107618423525;0.31999999999999995;0.027928480087537885;0.35200000000000004;0.03641428291206626;0.41900000000000004;0.0760526133673262;0.1264;0.013529227620230207;0.08319999999999998;0.011702991070662234;0.1096;0.004079215610874232;0.0206;0.0027276363393971713;0.0914;0.011412274094149686;0.020200000000000003;0.004621688003316538
61.48444444444444;1.8399999999999999;0.2403331021727969;1.996;0.523281950768417;2.336;0.1860752535938081;1.24;0.5015176965970394;1.188;0.36912870384189844;1.208;0.2807418743258653;0.576;0.22595132219130742;0.601;0.15777832550765647;0.612;0.1815929514050587;0.34199999999999997;0.20240059288450715;0.266;0.1428775699681374;0.29000000000000004;0.1705579080547132;0.0696;0.0157175061635108;0.176;0.10213716267842964;0.0816;0.016511813952440235
64.10388888888889;1.9159999999999997;0.0803990049689672;2.04;0.19183326093250877;2.3440000000000003;0.11482160075525852;1.264;0.0708801805866774;1.168;0.08541662601625047;1.308;0.03919183588453088;0.644;0.04409081537009721;0.642;0.0682348884369279;0.66;0.03286335345030996;0.33199999999999996;0.03310589071449369;0.30200000000000005;0.06087692502089771;0.33199999999999996;0.05268775948927793;0.0976;0.012547509713086496;0.16640000000000002;0.013529227620230212;0.11120000000000001;0.012749901960407383
